trigger_type,channel,status,count,first_at,last_at
weekly_digest,email,failed,262,2026-08-17 02:10:13.640746+00,2026-09-07 02:02:59.625873+00
weekly_digest,whatsapp,pending,262,2026-08-17 02:10:13.448239+00,2026-09-07 02:02:58.730292+00
