status,count,stake,first_seen,last_seen
cleared,10,39783804.046666668,2026-08-16 13:47:07.183+00,2026-09-04 18:11:05.301+00
open,2,3484926.49,2026-08-16 13:47:07.183+00,2026-09-08 03:00:04.437+00
