retailer_key,july_name,july_value,august_raw_dealer_id,august_name,august_value,august_as_pct_of_july,ratio
RET#9877,Majumdar Enterprise,329650,RET#9877,MAJUMDAR ENTERPRISE,50213,15.23,0.1523
RET#36268,J J International,329427,RET#36268,J J INTERNATIONAL,114523,34.76,0.3476
RET#9447,Baladev Traders,323332,RET#9447,BALADEV TRADERS,9202,2.85,0.0285
RET#94153,Laxmi Commercial Enterprises,320218,RET#94153,LAXMI COMMERCIAL ENTERPRISES,170569,53.27,0.5327
RET#35864,MA TARA PIPE FITTING,317599,RET#35864,MA TARA PIPE FITTING,185571,58.43,0.5843
RET#22801,Om Enterprises,316525,RET#22801,OM ENTERPRISES,16808,5.31,0.0531
RET#78085,JAI JAGDAMBA MARBLE AND TILES STORE,315280,RET#78085,JAI JAGDAMBA MARBLE AND TILES STORE,54213,17.20,0.1720
RET#9560,Pal Enterprise,309549,RET#9560,PAL ENTERPRISE,61040,19.72,0.1972
RET#41683,Ambika Agency,303697,RET#41683,AMBIKA AGENCY,108403,35.69,0.3569
RET#21232,M/S Jaiswal Enterprises,303164,RET#21232,M/S JAISWAL ENTERPRISES,23495,7.75,0.0775
RET#9924,Joyshree Trading,302196,RET#9924,JOYSHREE TRADING,341804,113.11,1.1311
RET#16021,Bhurani Cement Depot,299879,RET#16021,BHURANI CEMENT  DEPOT,10105,3.37,0.0337
RET#76472,ANAND MARBLE,298520,RET#76472,ANAND MARBLE,38332,12.84,0.1284
RET#52241,Alif traders,290331,RET#52241,ALIF TRADERS,413953,142.58,1.4258
RET#16633,Steel Co,287288,RET#16633,STEEL CO,48043,16.72,0.1672
RET#42325,Dey's Enterprise,280454,RET#42325,DEY'S ENTERPRISE,59997,21.39,0.2139
RET#9426,Amit Enterprise,274775,RET#9426,AMIT ENTERPRISE,73055,26.59,0.2659
RET#22879,Abhishek Enterprises,272335,RET#22879,ABHISHEK ENTERPRISES,452715,166.23,1.6623
RET#48299,Daniji traders,270685,RET#48299,DANIJI TRADERS,301867,111.52,1.1152
RET#68752,New Tushar Hardware,256682,RET#68752,NEW TUSHAR HARDWARE,287677,112.08,1.1208
RET#16636,KARNI ENTERPRISES,252856,RET#16636,KARNI ENTERPRISES,50900,20.13,0.2013
RET#42873,R K Enterprises,247794,RET#42873,R K ENTERPRISES,168702,68.08,0.6808
RET#88948,Jai shree shyam international,242708,RET#88948,JAI SHREE SHYAM INTERNATIONAL,72500,29.87,0.2987
RET#92081,Arihant Trading,240731,RET#92081,ARIHANT TRADING,6587,2.74,0.0274
RET#37481,Anjay plumber,235824,RET#37481,ANJAY PLUMBER,93572,39.68,0.3968
RET#17402,Bhagwati Traders,233990,RET#17402,BHAGWATI TRADERS,44728,19.12,0.1912
RET#21423,Riddhi Traders,229695,RET#21423,RIDDHI TRADERS,6300,2.74,0.0274
RET#44153,Bhunia enterprise,227503,RET#44153,BHUNIA ENTERPRISE,171017,75.17,0.7517
RET#88871,RAMAWATI TRADING COMPANY,225031,RET#88871,RAMAWATI TRADING COMPANY,17338,7.70,0.0770
RET#9828,Hari Charan Hardware,223037,RET#9828,HARI CHARAN HARDWARE,338350,151.70,1.5170
RET#9463,R.S. Pipe Fittings,222633,RET#9463,R.S. PIPE FITTINGS,111652,50.15,0.5015
RET#30908,Kalita Enterprise,222192,RET#30908,KALITA ENTERPRISE,170719,76.83,0.7683
RET#9553,Pal Agencies,221287,RET#9553,PAL AGENCIES,29676,13.41,0.1341
RET#28652,Vidhya traders,221221,RET#28652,VIDHYA TRADERS,83381,37.69,0.3769
RET#15460,Niyati Enterprises,216958,RET#15460,NIYATI ENTERPRISES,46147,21.27,0.2127
RET#9648,B Chowdhury & Son's,215325,RET#9648,B CHOWDHURY & SON'S,245579,114.05,1.1405
RET#42166,MAA SARALA HARDWARE STORE,213585,RET#42166,MAA SARALA HARDWARE STORE,14707,6.89,0.0689
RET#37508,New galaxy house,213239,RET#37508,NEW GALAXY HOUSE,15199,7.13,0.0713
RET#39872,Harsh Enterprises,212928,RET#39872,HARSH ENTERPRISES,3483,1.64,0.0164
RET#90576,PD ENTERPRISE,212787,RET#90576,PD ENTERPRISE,4617,2.17,0.0217
RET#70972,JOY TARA MAA HARDWARE & MARBLE TILES,212324,RET#70972,JOY TARA MAA HARDWARE & MARBLE TILES,144634,68.12,0.6812
RET#93558,NEW AFRIN HARDWARE,210493,RET#93558,NEW AFRIN HARDWARE,27058,12.85,0.1285
RET#10364,Das Suppliers,206145,RET#10364,DAS SUPPLIERS,95251,46.21,0.4621
RET#15280,City Centre,204841,RET#15280,CITY CENTRE,112158,54.75,0.5475
RET#9679,Partha Sarathi Sanitation,204757,RET#9679,PARTHA SARATHI SANITATION,178657,87.25,0.8725
RET#67472,Krishna Trading Company,203334,RET#67472,KRISHNA TRADING COMPANY,152947,75.22,0.7522
RET#16623,JHADESWAR HARDWARE STORE,201042,RET#16623,JHADESWAR HARDWARE STORE,10348,5.15,0.0515
RET#17151,Gaurav Enterprises,200647,RET#17151,GAURAV ENTERPRISES,93887,46.79,0.4679
RET#21174,Gupta enterprises,199540,RET#21174,GUPTA ENTERPRISES,143756,72.04,0.7204
RET#35304,GREEN BRICKS ENTERPRISES,197035,RET#35304,GREEN BRICKS ENTERPRISES,42756,21.70,0.2170
RET#17734,"Grih Rachna Pipe Stores,",196858,RET#17734,"GRIH RACHNA PIPE STORES,",282336,143.42,1.4342
RET#65034,LAXMI NARAYAN HARDWARE,196230,RET#65034,LAXMI NARAYAN HARDWARE,75593,38.52,0.3852
RET#38365,Shree Braj nirmal enterprises,195717,RET#38365,SHREE BRAJ NIRMAL ENTERPRISES,64666,33.04,0.3304
RET#60380,Shakti auto parts & hardware,195036,RET#60380,SHAKTI AUTO PARTS & HARDWARE,182976,93.82,0.9382
RET#86861,SHIVAM CERAMICS AND HARDWARE,195035,RET#86861,SHIVAM CERAMICS AND HARDWARE,20704,10.62,0.1062
RET#52977,Lokenath plumbing and tiles center,192144,RET#52977,LOKENATH PLUMBING AND TILES CENTER,181018,94.21,0.9421
RET#13675,Pareek Enterprise,191934,RET#13675,PAREEK ENTERPRISE,170419,88.79,0.8879
RET#10215,Om Hardware and sanitary,190082,RET#10215,OM HARDWARE AND SANITARY,17310,9.11,0.0911
RET#94164,LAXMI NARSIHMA TRADERS,188690,RET#94164,LAXMI NARSIHMA TRADERS,204162,108.20,1.0820
RET#16253,Akshay Associates,182286,RET#16253,AKSHAY ASSOCIATES,26290,14.42,0.1442
RET#17406,Neelam Traders,179852,RET#17406,NEELAM TRADERS,52749,29.33,0.2933
RET#49466,Swastik Hardware,175849,RET#49466,SWASTIK HARDWARE,170431,96.92,0.9692
RET#9542,SAIJAL BATHING SOLUTIONS PVT. LTD,175086,RET#9542,SAIJAL BATHING SOLUTIONS PVT. LTD,100597,57.46,0.5746
RET#25309,R.s hardware,174387,RET#25309,R.S HARDWARE,143966,82.56,0.8256
RET#10435,Shree Binayak Agencies,173996,RET#10435,SHREE BINAYAK AGENCIES,6290,3.62,0.0362
RET#34247,Shri krishan kripa sanitary store,173584,RET#34247,SHRI KRISHAN KRIPA SANITARY STORE,22080,12.72,0.1272
RET#9977,Jaiswal Agencies,172493,RET#9977,JAISWAL AGENCIES,18305,10.61,0.1061
RET#44048,NAMO BK AND SONS,170659,RET#44048,NAMO BK AND SONS,31200,18.28,0.1828
RET#35855,Bihari Lal Enterprises,168127,RET#35855,BIHARI LAL ENTERPRISES,60210,35.81,0.3581
RET#91490,LAXMI BATH & TILES,167806,RET#91490,LAXMI BATH & TILES,3183,1.90,0.0190
RET#17394,Agarwal H/W Store,167778,RET#17394,AGARWAL H/W STORE,160644,95.75,0.9575
RET#62127,Ma Janki Pipe & Sanitary Stores,166772,RET#62127,MA JANKI PIPE & SANITARY STORES,67363,40.39,0.4039
RET#32175,Satguru sales,166373,RET#32175,SATGURU SALES,123735,74.37,0.7437
RET#64461,Abhishek Marbles and tiles,162654,RET#64461,ABHISHEK MARBLES AND TILES,22126,13.60,0.1360
RET#10838,Aka Traders,161922,RET#10838,AKA TRADERS,84276,52.05,0.5205
RET#71499,Light Electricals,160582,RET#71499,LIGHT ELECTRICALS,79058,49.23,0.4923
RET#52675,Barnawal Hardware And Machinery Store,159755,RET#52675,BARNAWAL HARDWARE AND MACHINERY STORE,57400,35.93,0.3593
RET#67595,Maa Ranju enterprises,157598,RET#67595,MAA RANJU ENTERPRISES,141896,90.04,0.9004
RET#34286,SHREE RAM TILES,157369,RET#34286,SHREE RAM TILES,80765,51.32,0.5132
RET#23633,Ghar Bari,156240,RET#23633,GHAR BARI,177655,113.71,1.1371
RET#20442,Swami Hardware,155727,RET#20442,SWAMI HARDWARE,41053,26.36,0.2636
RET#77829,Subash Chandra Nayak.,154731,RET#77829,SUBASH CHANDRA NAYAK.,6758,4.37,0.0437
RET#17407,Hakimi Hardware,154467,RET#17407,HAKIMI HARDWARE,41505,26.87,0.2687
RET#88677,Shivparvati Hardware and Sanitary,154219,RET#88677,SHIVPARVATI HARDWARE AND SANITARY,12816,8.31,0.0831
RET#36883,M K Sanitary,153430,RET#36883,M K SANITARY,190973,124.47,1.2447
RET#9302,Kar Hardware,151658,RET#9302,KAR HARDWARE,150439,99.20,0.9920
RET#36539,Shakeel Traders,150632,RET#36539,SHAKEEL TRADERS,52606,34.92,0.3492
RET#37322,Khirachara Traders,150048,RET#37322,KHIRACHARA TRADERS,2205,1.47,0.0147
RET#18409,Ganesh tube traders,149939,RET#18409,GANESH TUBE TRADERS,15908,10.61,0.1061
RET#45335,Shri Lakshman Enterprises (Converted as a Retailer),148795,RET#45335,SHRI LAKSHMAN ENTERPRISES (CONVERTED AS A RETAILER),68844,46.27,0.4627
RET#9527,Baman Sanitary,147709,RET#9527,BAMAN SANITARY,20030,13.56,0.1356
RET#10140,Neha enterprise,147537,RET#10140,NEHA ENTERPRISE,64480,43.70,0.4370
RET#22553,KAR HARDWARE,147196,RET#22553,KAR HARDWARE,54118,36.77,0.3677
RET#13106,Balaji Sanitary Store,145841,RET#13106,BALAJI SANITARY STORE,134970,92.55,0.9255
RET#76809,S. J enterprises,142301,RET#76809,S. J ENTERPRISES,72132,50.69,0.5069
RET#63287,Navkar agency,137060,RET#63287,NAVKAR AGENCY,24616,17.96,0.1796
RET#52766,M.M. Enterprise,136598,RET#52766,M.M. ENTERPRISE,73525,53.83,0.5383
RET#90590,M/s krishna enterprises,136238,RET#90590,M/S KRISHNA ENTERPRISES,36355,26.68,0.2668
RET#9350,Ram Krishna Enterprise,135787,RET#9350,RAM KRISHNA ENTERPRISE,60507,44.56,0.4456
RET#23017,Anjay Enterprises,135212,RET#23017,ANJAY ENTERPRISES,159189,117.73,1.1773
RET#17787,Naveen Hardware & Building Materials,134637,RET#17787,NAVEEN HARDWARE & BUILDING MATERIALS,65200,48.43,0.4843
RET#84212,Rinku Water Supply,134424,RET#84212,RINKU WATER SUPPLY,49453,36.79,0.3679
RET#50159,Kamala hardware,133570,RET#50159,KAMALA HARDWARE,8160,6.11,0.0611
RET#23791,Hari Om Traders,131506,RET#23791,HARI OM TRADERS,35010,26.62,0.2662
RET#9907,Kundu Enterprise,130498,RET#9907,KUNDU ENTERPRISE,16368,12.54,0.1254
RET#42777,Kalimata Enterprise,130041,RET#42777,KALIMATA ENTERPRISE,111536,85.77,0.8577
RET#75792,Karmakar Enterprise,130020,RET#75792,KARMAKAR ENTERPRISE,65920,50.70,0.5070
RET#9610,Puja Enterprise,128896,RET#9610,PUJA ENTERPRISE,52015,40.35,0.4035
RET#17768,Modern Sanitary & Tiles,126298,RET#17768,MODERN SANITARY & TILES,58477,46.30,0.4630
RET#41688,Mansi trading company,126141,RET#41688,MANSI TRADING COMPANY,27769,22.01,0.2201
RET#17448,Agrawal Engineers,123572,RET#17448,AGRAWAL ENGINEERS,120786,97.75,0.9775
RET#40005,Tejas Hardware Mart,122812,RET#40005,TEJAS HARDWARE MART,23421,19.07,0.1907
RET#76146,Sri Durga Sanitary and paints,122727,RET#76146,SRI DURGA SANITARY AND PAINTS,54164,44.13,0.4413
RET#79822,SHAHZEE ENTERPRISES,121421,RET#79822,SHAHZEE ENTERPRISES,318970,262.70,2.6270
RET#76365,Globe Trading,121184,RET#76365,GLOBE TRADING,43890,36.22,0.3622
RET#46262,SHIVA ENTERPRISES,120514,RET#46262,SHIVA ENTERPRISES,101460,84.19,0.8419
RET#24033,Maa laxmi enterprises,119482,RET#24033,MAA LAXMI ENTERPRISES,150553,126.00,1.2600
RET#80815,Maa Durga Hardware,118022,RET#80815,MAA DURGA HARDWARE,89508,75.84,0.7584
RET#9465,Anadi hardware,117427,RET#9465,ANADI HARDWARE,154637,131.69,1.3169
RET#83184,M.S. CONSTRUCTION,116410,RET#83184,M.S. CONSTRUCTION,30896,26.54,0.2654
RET#9283,Pathak Hardware,116357,RET#9283,PATHAK HARDWARE,65430,56.23,0.5623
RET#55784,Gopal Hardware,114253,RET#55784,GOPAL HARDWARE,178542,156.27,1.5627
RET#87191,Indranath Dey(Project),114088,RET#87191,INDRANATH DEY(PROJECT),42759,37.48,0.3748
RET#52043,Tushar Enterprises,113770,RET#52043,TUSHAR ENTERPRISES,37265,32.75,0.3275
RET#88855,ISMILE SANITARY HOUSE,113537,RET#88855,ISMILE SANITARY HOUSE,14542,12.81,0.1281
RET#28492,Ashok hardware,113506,RET#28492,ASHOK HARDWARE,565100,497.86,4.9786
RET#29186,Sudha Hardware,112477,RET#29186,SUDHA HARDWARE,338549,300.99,3.0099
RET#29793,M.R.ENTERPRISERS,111702,RET#29793,M.R.ENTERPRISERS,12098,10.83,0.1083
RET#59019,Neha Enterprise,111645,RET#59019,NEHA ENTERPRISE,193563,173.37,1.7337
RET#18357,Agrawal hardware & electricals,111568,RET#18357,AGRAWAL HARDWARE & ELECTRICALS,135588,121.53,1.2153
RET#25812,Sriram Traders,109700,RET#25812,SRIRAM TRADERS,41965,38.25,0.3825
RET#28937,MAA HARDWARE,109250,RET#28937,MAA HARDWARE,93733,85.80,0.8580
RET#87330,NOVELTY HARDWARE & SANITARY PLUMBING,107831,RET#87330,NOVELTY HARDWARE & SANITARY PLUMBING,60486,56.09,0.5609
RET#51126,Shri Sanwariya Seth Electrical & Nal Fitting,105336,RET#51126,SHRI SANWARIYA SETH ELECTRICAL & NAL FITTING,161436,153.26,1.5326
RET#59550,Sohail hardware and electricals,104624,RET#59550,SOHAIL HARDWARE AND ELECTRICALS,25503,24.38,0.2438
RET#13055,Shree Ram And Sons,103542,RET#13055,SHREE RAM AND SONS,20108,19.42,0.1942
RET#37430,Ghoramari Hardware,103415,RET#37430,GHORAMARI HARDWARE,178259,172.37,1.7237
RET#88022,RADHE KRISHNA TRADERS,101906,RET#88022,RADHE KRISHNA TRADERS,141694,139.04,1.3904
RET#29770,Uttam Hardware,101058,RET#29770,UTTAM HARDWARE,14856,14.70,0.1470
RET#50288,Shri Shyam Traders,100860,RET#50288,SHRI SHYAM TRADERS,61134,60.61,0.6061
RET#35966,SRI MAHADEV ELECTRICALS,100286,RET#35966,SRI MAHADEV ELECTRICALS,19137,19.08,0.1908
RET#15510,Jyotirling Enterprises,98619,RET#15510,JYOTIRLING ENTERPRISES,5589,5.67,0.0567
RET#16617,Maa Tarini Agencies,97544,RET#16617,MAA TARINI AGENCIES,78165,80.13,0.8013
RET#59935,Riddhi Siddhi Hardware Electronic And Sanitary Store,95856,RET#59935,RIDDHI SIDDHI HARDWARE ELECTRONIC AND SANITARY STORE,19906,20.77,0.2077
RET#56222,Shri balaji traders,93968,RET#56222,SHRI BALAJI TRADERS,33427,35.57,0.3557
RET#10135,Swami traders,93926,RET#10135,SWAMI TRADERS,277942,295.92,2.9592
RET#51866,Baba Vishwanath hardware,93551,RET#51866,BABA VISHWANATH HARDWARE,71335,76.25,0.7625
RET#33094,S.S enterprises,92761,RET#33094,S.S ENTERPRISES,65140,70.22,0.7022
RET#16625,Jaga Balia Hardware Store,92564,RET#16625,JAGA BALIA HARDWARE STORE,5106,5.52,0.0552
RET#35313,Venkataramana iron and cement Traders,91509,RET#35313,VENKATARAMANA IRON AND CEMENT TRADERS,12423,13.58,0.1358
RET#9472,Durga Madhab Traders,90896,RET#9472,DURGA MADHAB TRADERS,63024,69.34,0.6934
RET#37129,Jangra paints HW and sanitary store,90524,RET#37129,JANGRA PAINTS HW AND SANITARY STORE,13533,14.95,0.1495
RET#94595,N.S. TRADING,90372,RET#94595,N.S. TRADING,42646,47.19,0.4719
RET#27237,Friends electricals,89460,RET#27237,FRIENDS ELECTRICALS,29880,33.40,0.3340
RET#78784,SHAIL HARDWARE,88783,RET#78784,SHAIL HARDWARE,8926,10.05,0.1005
RET#36216,Verma machinery store,88657,RET#36216,VERMA MACHINERY STORE,15170,17.11,0.1711
RET#17306,Ajay Iron Store,88583,RET#17306,AJAY IRON STORE,70395,79.47,0.7947
RET#93723,Mamco enterprises,88511,RET#93723,MAMCO ENTERPRISES,29270,33.07,0.3307
RET#37211,Jay shriram traders,88449,RET#37211,JAY SHRIRAM TRADERS,23782,26.89,0.2689
RET#17408,Jain H/W,88328,RET#17408,JAIN H/W,47641,53.94,0.5394
RET#32419,Maa Sharda building materials,88062,RET#32419,MAA SHARDA BUILDING MATERIALS,19376,22.00,0.2200
RET#25813,Pooja Hardwares,88033,RET#25813,POOJA HARDWARES,34464,39.15,0.3915
RET#11518,Badam Subrahmanyam & Sons,87085,RET#11518,BADAM SUBRAHMANYAM & SONS,37661,43.25,0.4325
RET#48954,CHAND SANITARY,85448,RET#48954,CHAND SANITARY,111200,130.14,1.3014
RET#92880,Ashoka pipe company,85320,RET#92880,ASHOKA PIPE COMPANY,13054,15.30,0.1530
RET#56068,Geetanjali enterprises,85257,RET#56068,GEETANJALI ENTERPRISES,61927,72.64,0.7264
RET#10018,Mishra Pipes N Fitting,85209,RET#10018,MISHRA PIPES N FITTING,89018,104.47,1.0447
RET#43551,Shree hari hardware paint and tiles,85062,RET#43551,SHREE HARI HARDWARE PAINT AND TILES,5028,5.91,0.0591
RET#47433,EKJAN ENTERPRISES,84426,RET#47433,EKJAN ENTERPRISES,31124,36.87,0.3687
RET#77650,Jai bajrang hardware,84159,RET#77650,JAI BAJRANG HARDWARE,39422,46.84,0.4684
RET#9957,Shyamalai Traders,83930,RET#9957,SHYAMALAI TRADERS,41428,49.36,0.4936
RET#92054,Hariom enterprises,83830,RET#92054,HARIOM ENTERPRISES,17415,20.77,0.2077
RET#9883,Maa Tarini Hardware,83489,RET#9883,MAA TARINI  HARDWARE,14213,17.02,0.1702
RET#16620,Mahavir Traders,82822,RET#16620,MAHAVIR TRADERS,47527,57.38,0.5738
RET#66441,LONGOWAL SANITARY STORE,82381,RET#66441,LONGOWAL SANITARY  STORE,8165,9.91,0.0991
RET#50044,SRI VENKATESHWARA ELECTRICAL,82290,RET#50044,SRI VENKATESHWARA ELECTRICAL,18525,22.51,0.2251
RET#29798,Sri Rajendra pipe Sanitary,81324,RET#29798,SRI RAJENDRA PIPE SANITARY,36265,44.59,0.4459
RET#64137,Lakhan hardware & sanitary store,81197,RET#64137,LAKHAN HARDWARE & SANITARY STORE,30681,37.79,0.3779
RET#17470,Shri Maa Kripa Traders,80209,RET#17470,SHRI MAA KRIPA TRADERS,17519,21.84,0.2184
RET#9595,M/s. Anandamoyee Sanitations,79182,RET#9595,M/S. ANANDAMOYEE SANITATIONS,2322,2.93,0.0293
RET#33420,Verma loha bhandaar,78878,RET#33420,VERMA LOHA BHANDAAR,138469,175.55,1.7555
RET#33137,Jaiswal krishi kendra,77205,RET#33137,JAISWAL KRISHI KENDRA,54164,70.16,0.7016
RET#17005,Indian Electricals,76386,RET#17005,INDIAN ELECTRICALS,5712,7.48,0.0748
RET#24107,Kamala Hardware,76012,RET#24107,KAMALA HARDWARE,71862,94.54,0.9454
RET#30087,SHIV SAKTI SANITATION,75781,RET#30087,SHIV SAKTI SANITATION,75781,100.00,1.0000
RET#63665,SUNITA SANITATION,75191,RET#63665,SUNITA SANITATION,151742,201.81,2.0181
RET#9813,Samanta Enterprise,74976,RET#9813,SAMANTA ENTERPRISE,491751,655.88,6.5588
RET#38268,Om traders,74829,RET#38268,OM TRADERS,38851,51.92,0.5192
RET#36665,Nandan Enterprise,74381,RET#36665,NANDAN ENTERPRISE,15415,20.72,0.2072
RET#9817,Ratan Kumar Bera,72088,RET#9817,RATAN KUMAR BERA,22963,31.85,0.3185
RET#55565,Sainik Electricals and Plumbing,71769,RET#55565,SAINIK ELECTRICALS AND PLUMBING,26000,36.23,0.3623
RET#45118,D. B. TILES,71211,RET#45118,D. B. TILES,71811,100.84,1.0084
RET#35234,Gurukrupa Electrical,71167,RET#35234,GURUKRUPA ELECTRICAL,101166,142.15,1.4215
RET#77206,Sm traders,70227,RET#77206,SM TRADERS,1737,2.47,0.0247
RET#16658,G bhaskaran bror,70198,RET#16658,G BHASKARAN BROR,53615,76.38,0.7638
RET#23697,Sri Lakshmi Electricals,70001,RET#23697,SRI LAKSHMI ELECTRICALS,25800,36.86,0.3686
RET#82029,Mahaveer Bath Solutions,69967,RET#82029,MAHAVEER BATH SOLUTIONS,135253,193.31,1.9331
RET#84717,Chandrika Traders & Hardware,69748,RET#84717,CHANDRIKA TRADERS & HARDWARE,55088,78.98,0.7898
RET#51731,Pradeep hardware and Electronics,69362,RET#51731,PRADEEP HARDWARE AND ELECTRONICS,20474,29.52,0.2952
RET#90393,Shri mahaveer enterprises,69142,RET#90393,SHRI MAHAVEER ENTERPRISES,55351,80.05,0.8005
RET#37618,Basanti Enterprises,67121,RET#37618,BASANTI ENTERPRISES,58000,86.41,0.8641
RET#35520,PIPE SANITARY STORES,66983,RET#35520,PIPE SANITARY STORES,69317,103.48,1.0348
RET#59004,Mehto Hardware,66665,RET#59004,MEHTO HARDWARE,13445,20.17,0.2017
RET#88418,Mohan Lal and Sons,66549,RET#88418,MOHAN LAL AND SONS,18600,27.95,0.2795
RET#9888,Shri Bihariji Enterprises,65999,RET#9888,SHRI BIHARIJI ENTERPRISES,20249,30.68,0.3068
RET#93733,PATTANAIK ENGINEERING,65209,RET#93733,PATTANAIK ENGINEERING,1139,1.75,0.0175
RET#70501,Jai Guru Borewell,64597,RET#70501,JAI GURU BOREWELL,200712,310.71,3.1071
RET#9566,Ganga Prasad & Brothers,63844,RET#9566,GANGA PRASAD & BROTHERS,26369,41.30,0.4130
RET#93484,Maa Dayamoyee Bhander,63316,RET#93484,MAA DAYAMOYEE BHANDER,73222,115.65,1.1565
RET#16557,Shree Ganesh Hardware Centre,63112,RET#16557,SHREE GANESH HARDWARE CENTRE,134929,213.79,2.1379
RET#65717,Kagzi enterprises,62710,RET#65717,KAGZI ENTERPRISES,124236,198.11,1.9811
RET#9507,Mohata Commercial Enterprise,61691,RET#9507,MOHATA COMMERCIAL ENTERPRISE,32179,52.16,0.5216
RET#17348,Maa Durga Ply & Hardware,61520,RET#17348,MAA DURGA PLY & HARDWARE,18818,30.59,0.3059
RET#11350,Sai sri enterprises,61493,RET#11350,SAI SRI ENTERPRISES,24289,39.50,0.3950
RET#90640,Anil Kumar Ajay Kumar,61480,RET#90640,ANIL KUMAR AJAY KUMAR,106014,172.44,1.7244
RET#86389,Jeriya enterprises,61295,RET#86389,JERIYA ENTERPRISES,34182,55.77,0.5577
RET#47398,Vaibhav enterprises,60900,RET#47398,VAIBHAV ENTERPRISES,36000,59.11,0.5911
RET#81609,Anmol enterprises,60843,RET#81609,ANMOL ENTERPRISES,5253,8.63,0.0863
RET#46622,Raj marbal tiles & sanitary,60814,RET#46622,RAJ MARBAL TILES & SANITARY,42671,70.17,0.7017
RET#73748,Pradhan Enterprises,60757,RET#73748,PRADHAN ENTERPRISES,104812,172.51,1.7251
RET#46038,KRISHNAKALI ENTERPRISE,60566,RET#46038,KRISHNAKALI ENTERPRISE,10425,17.21,0.1721
RET#21794,J.k traders,60512,RET#21794,J.K TRADERS,4985,8.24,0.0824
RET#71263,Shree Aurobindo Sanitary,60156,RET#71263,SHREE AUROBINDO SANITARY,107586,178.85,1.7885
RET#9427,Grihasthi Sanitary,59846,RET#9427,GRIHASTHI SANITARY,25654,42.87,0.4287
RET#74687,Bharat Electrical and hardware store,59686,RET#74687,BHARAT ELECTRICAL AND HARDWARE STORE,75410,126.34,1.2634
RET#43946,MANJU HARDWER,59598,RET#43946,MANJU HARDWER,48905,82.06,0.8206
RET#62163,J K HARDWARE,59591,RET#62163,J K HARDWARE,104577,175.49,1.7549
RET#25975,Sri Jayaram Hardware and Electricals,59401,RET#25975,SRI JAYARAM HARDWARE AND ELECTRICALS,3394,5.71,0.0571
RET#45497,VIJAY SANITARY & MACHINERY STORES,59137,RET#45497,VIJAY SANITARY & MACHINERY STORES,79089,133.74,1.3374
RET#16591,DIpak Enterprises,59086,RET#16591,DIPAK ENTERPRISES,37153,62.88,0.6288
RET#28990,ADITYA ENTERPRISES,58841,RET#28990,ADITYA ENTERPRISES,190257,323.34,3.2334
RET#52179,Mahajan Agencies,58587,RET#52179,MAHAJAN AGENCIES,103187,176.13,1.7613
RET#25945,Vijay Traders,58571,RET#25945,VIJAY TRADERS,29409,50.21,0.5021
RET#49678,Sampoorna Electricals,58327,RET#49678,SAMPOORNA ELECTRICALS,90095,154.47,1.5447
RET#9275,B.P. Machinery & Sanitary,57882,RET#9275,B.P. MACHINERY & SANITARY,25944,44.82,0.4482
RET#9324,Shree Ganesh,57761,RET#9324,SHREE GANESH,40773,70.59,0.7059
RET#9590,K.D. Trading Company,56659,RET#9590,K.D. TRADING COMPANY,34888,61.58,0.6158
RET#9720,SHALIGRAM ROHIT KUMAR,56627,RET#9720,SHALIGRAM ROHIT KUMAR,57772,102.02,1.0202
RET#9271,Adhikary Brothers & Co.,56529,RET#9271,ADHIKARY BROTHERS & CO.,100890,178.47,1.7847
RET#52931,Burhani hardware & paints,56470,RET#52931,BURHANI HARDWARE & PAINTS,10296,18.23,0.1823
RET#47547,Vrindavan hardware,56452,RET#47547,VRINDAVAN HARDWARE,58878,104.30,1.0430
RET#44550,Dev sanitary store,56394,RET#44550,DEV SANITARY STORE,61403,108.88,1.0888
RET#38408,Bandhan hardware,56310,RET#38408,BANDHAN HARDWARE,69026,122.58,1.2258
RET#61566,Bharat steel,56105,RET#61566,BHARAT STEEL,65405,116.58,1.1658
RET#81110,MALANCHA HARDWARE,55081,RET#81110,MALANCHA HARDWARE,33075,60.05,0.6005
RET#59405,Maa Lakshmi Hardware,55035,RET#59405,MAA LAKSHMI HARDWARE,26946,48.96,0.4896
RET#10836,Sri Lakshmi Traders,55022,RET#10836,SRI LAKSHMI TRADERS,33165,60.28,0.6028
RET#79653,RAJ ZONE ENTERPRISES,54993,RET#79653,RAJ ZONE ENTERPRISES,28480,51.79,0.5179
RET#65391,K R Enterprise,54761,RET#65391,K R ENTERPRISE,9265,16.92,0.1692
RET#62299,Maa Bankeswari Traders,53939,RET#62299,MAA BANKESWARI TRADERS,20748,38.47,0.3847
RET#11304,Sri Srinivasa traders.,53867,RET#11304,SRI SRINIVASA TRADERS.,19618,36.42,0.3642
RET#87335,Kisan krishi sewa kendra,53553,RET#87335,KISAN KRISHI SEWA KENDRA,75025,140.09,1.4009
RET#92322,Sri Alagar power Tools & Fasteners,52833,RET#92322,SRI ALAGAR POWER TOOLS & FASTENERS,53481,101.23,1.0123
RET#92068,Annapurna Traders,52200,RET#92068,ANNAPURNA TRADERS,11947,22.89,0.2289
RET#89356,Lalit Hardware and Plumbing,51407,RET#89356,LALIT HARDWARE AND PLUMBING,3841,7.47,0.0747
RET#66262,Saniya hardware and sanitary,51173,RET#66262,SANIYA HARDWARE AND SANITARY,73415,143.46,1.4346
RET#12615,Goutam Sanitary,50506,RET#12615,GOUTAM SANITARY,13832,27.39,0.2739
