retailer_key,july_name,july_value,august_raw_dealer_id,august_name,august_value,august_as_pct_of_july,ratio
RET#23186,Trivikrama Enterprises,9372,RET#23186,TRIVIKRAMA ENTERPRISES,8921,95.19,0.9519
RET#30396,MAHALAXMI ENTERPRISES,9335,RET#30396,MAHALAXMI ENTERPRISES,3213,34.42,0.3442
RET#27087,Dew corporation,9327,RET#27087,DEW CORPORATION,5574,59.76,0.5976
RET#88335,Ezzi machinery and hardware,9234,RET#88335,EZZI MACHINERY AND HARDWARE,1286,13.93,0.1393
RET#32540,ANUBHAV SANITATION,9214,RET#32540,ANUBHAV SANITATION,3601,39.08,0.3908
RET#83619,Jk Electricals & Hardwares,9174,RET#83619,JK ELECTRICALS & HARDWARES,4266,46.50,0.4650
RET#60104,Khera enterprise,9162,RET#60104,KHERA ENTERPRISE,2168,23.66,0.2366
RET#91104,Arunkumar Hardwares,8820,RET#91104,ARUNKUMAR HARDWARES,2450,27.78,0.2778
RET#12597,Deluxe hardware & electrical,8756,RET#12597,DELUXE HARDWARE & ELECTRICAL,8756,100.00,1.0000
RET#31507,Jai Kishan Dass Sunil Kumar,8705,RET#31507,JAI KISHAN DASS SUNIL KUMAR,14500,166.57,1.6657
RET#25828,USHA ELECTRICALS,8613,RET#25828,USHA ELECTRICALS,20390,236.74,2.3674
RET#9257,Sree Ramkrishna Associates,8580,RET#9257,SREE RAMKRISHNA ASSOCIATES,376688,4390.30,43.9030
RET#93590,Sunil enterprises,8545,RET#93590,SUNIL ENTERPRISES,3689,43.17,0.4317
RET#35608,Savitri sales,8525,RET#35608,SAVITRI SALES,40273,472.41,4.7241
RET#34653,Laxmi Traders,8518,RET#34653,LAXMI TRADERS,22301,261.81,2.6181
RET#65042,Sanjay machinery and pipe store,8501,RET#65042,SANJAY MACHINERY AND PIPE STORE,5800,68.23,0.6823
RET#90485,Sri Dhanalakshmi Timbers,8250,RET#90485,SRI DHANALAKSHMI TIMBERS,22868,277.19,2.7719
RET#37788,SVR traders,8120,RET#37788,SVR TRADERS,8222,101.26,1.0126
RET#63215,Thirumala enterprises,8120,RET#63215,THIRUMALA ENTERPRISES,6651,81.91,0.8191
RET#39143,M/s Bundelkhand Traders,8034,RET#39143,M/S BUNDELKHAND TRADERS,909,11.31,0.1131
RET#39670,Tirumala traders,7949,RET#39670,TIRUMALA TRADERS,31335,394.20,3.9420
RET#49014,Rakesh chandra vishal chandra,7943,RET#49014,RAKESH CHANDRA VISHAL CHANDRA,118501,1491.89,14.9189
RET#26077,Kumar Electricals,7889,RET#26077,KUMAR ELECTRICALS,3518,44.59,0.4459
RET#33324,Rajdhani sanitary,7815,RET#33324,RAJDHANI SANITARY,22279,285.08,2.8508
RET#17587,Anuradha Enterprises,7800,RET#17587,ANURADHA ENTERPRISES,8424,108.00,1.0800
